entry_hour,atr_5m,rsi_5m,disparity_5m,fvg_size_ratio,volume_ma_ratio,label,symbol
13,2285.714285714286,93.54838709677419,1.0244179443498012,0.011581196581196532,4.550426250603184,1,307950
13,1089.2857142857142,78.35051546391753,1.0770466247815202,0.012234689739083373,1.1467642129521654,0,001440
14,1128.5714285714287,76.99115044247787,1.0357917570498916,0.012350651094106543,1.6236136379924486,0,001440
13,1339.2857142857142,80.3921568627451,1.0370645380855146,0.010785753625849048,1.1826778518336887,0,005930
13,1642.857142857143,90.54726368159204,1.1898368105763273,0.029681789820839726,2.480874585326843,0,006800
13,112.14285714285714,88.73239436619718,1.0713607075610219,0.011490121222638124,1.8060126528315399,1,0167A0
13,13.357142857142858,62.4,1.0286458333333333,0.007975147215653577,0.9450236308304227,0,462330
14,8.285714285714286,18.75,0.9806060606060606,0.007038248258211279,1.965952205016738,0,462330
13,10.928571428571429,65.0,1.0125730368013706,0.009210404517263765,0.32545507917235283,1,462330
15,12.071428571428571,57.29166666666667,0.9984147399276164,0.008419212366580798,1.5145598616865101,1,462330
14,13.714285714285714,70.0,1.0139031172252304,0.007386212403513482,0.43129086434960634,1,462330
13,12.5,18.840579710144937,0.958403434472356,0.007962376606444424,0.7219593201799837,1,462330
13,20.0,77.61904761904762,1.0565921356977641,0.011623732160488277,0.0490567652368617,1,462330
15,7.071428571428571,54.09836065573771,1.0001723444591255,0.00790818574323733,0.6600737303682751,0,462330
13,8.928571428571429,25.555555555555543,0.9808591844348151,0.007584282306342052,0.4033012729317133,1,462330
13,9.0,23.33333333333333,0.9786757741870676,0.00959852537877084,0.7330300918200836,0,462330
14,14.071428571428571,40.52287581699346,0.9948054209350242,0.007396449704141971,0.685367366819885,0,462330
13,13.0,35.1063829787234,0.9984729237636556,0.007188860667634211,0.40374536681856416,1,462330
13,12.428571428571429,37.5,0.9931245225362872,0.007510778307238515,0.2436466726336326,1,462330
14,10.142857142857142,45.00000000000001,0.9964202242537203,0.007173111080748684,2.687621220029254,0,462330
14,10.642857142857142,60.824742268041234,1.0024320017890587,0.0080476007020248,1.164563322743197,0,462330
13,13.357142857142858,85.12396694214875,1.042204278698077,0.008710587657956126,1.0014419195592588,0,462330
14,6.571428571428571,20.408163265306115,0.9892461753903876,0.008726395814599844,1.9332040131394503,1,462330
13,12.571428571428571,96.32352941176471,1.0535176776695068,0.009297983569828246,0.08600214518742004,0,462330
13,15.0,83.87096774193549,1.0461464121768542,0.012141084721729867,0.3653263169287159,0,462330
13,17.5,65.51724137931035,1.0186923197246989,0.007494615089551758,0.1612059838122261,0,462330
14,27.0,20.454545454545453,0.9641029693581208,0.007424885952493329,0.7246019345811596,0,462330
13,14.071428571428571,80.0,1.0164302479844882,0.008632649915215004,0.8892061577650985,0,462330
13,20.357142857142858,75.60975609756098,1.031465276484826,0.007081366287142511,0.14371375963313618,0,462330
13,22.428571428571427,13.63636363636364,0.9626647144948756,0.007283608232374809,1.5096750083047281,1,462330
14,23.857142857142858,22.91666666666667,0.9739545121056493,0.01173402868318124,0.9184000939998017,1,462330
13,13.714285714285714,36.36363636363636,0.9919474984441888,0.00830188679245283,0.9012967537746348,1,462330
13,13.714285714285714,36.36363636363636,0.9919474984441888,0.007283608232374809,1.5096750083047281,1,462330
14,13.714285714285714,36.36363636363636,0.9919474984441888,0.01173402868318124,0.9184000939998017,1,462330
13,14.642857142857142,83.33333333333333,1.0262797796568541,0.008218277449046643,0.6172516774004452,0,462330
15,12.357142857142858,55.81395348837209,1.002558252091544,0.007068965517241379,0.7436475062374344,0,462330
12,18.428571428571427,21.212121212121204,0.9704524148467067,0.008064516129032258,0.19138970025074875,1,462330
13,4035.714285714286,66.66666666666666,1.0247251213930904,0.008746965765464094,0.2367863559572015,0,009150
13,6285.714285714285,91.72413793103448,1.1146582977111628,0.018108350793175704,1.2533859608389444,1,009150
13,4571.428571428572,71.11111111111111,1.0282111389540054,0.007347605224963645,0.2001602706793696,1,009150
13,8928.57142857143,88.49557522123894,1.1125578703703705,0.018231768231768187,0.8194752055257329,0,009150
14,4571.428571428572,53.33333333333333,1.0023665186241775,0.00759305210918113,1.6615967011424324,1,009150
14,4392.857142857143,39.47368421052631,0.9935257457493798,0.00961538461538468,1.1740490696525605,1,009150
14,4142.857142857143,54.166666666666664,1.0,0.00961538461538468,1.1740490696525605,1,009150
13,9714.285714285714,89.0,1.0879258070269306,0.015006305170239617,0.23473810350427254,0,009150
