entry_hour,atr_5m,rsi_5m,disparity_5m,fvg_size_ratio,volume_ma_ratio,label,symbol
9,0.7121428571428591,46.23287671232877,1.0000306126392327,0.00026588673225212103,0.8099461974698269,0,TSLA
18,0.8449500000000155,57.6616651175137,0.9997081590690035,0.0011566492437897653,0.8789346129375367,1,TSLA
13,1.2122214285714352,45.00897121629463,0.9987728062544388,0.0021709890415499075,2.551927569904878,0,TSLA
13,1.4236500000000052,39.69223226324056,0.9961460781644306,0.009621418113365423,2.294893068578491,1,TSLA
23,0.240235714285717,46.30840628625735,1.000329454195147,0.0003525205217303378,0.4415269473596187,0,TSLA
23,0.23537142857143017,48.53232283241943,1.0000312895543928,0.00047281061856578084,1.9457669219623268,1,TSLA
8,0.9192857142857187,49.04449324775213,1.0004615347200554,0.0013257847212269048,0.20396626189991632,1,AAPL
8,0.7705000000000025,61.60499344106371,0.9996467687503604,0.0011478997022634904,2.956730235552694,0,AAPL
10,0.5381928571428561,42.02671801660832,0.9985905282813378,0.0008951589802348899,1.9997407423410964,1,AAPL
22,0.22090000000000437,17.77862016679397,0.9984958560547895,0.0001770538243624452,0.41666666666666663,0,AAPL
23,0.42186428571428436,67.57890531362327,1.0020454950515247,0.00017656614167671224,0.3637686431429611,0,AAPL
23,0.4418642857142824,55.99346167816877,1.0002574046189245,0.0003888712129247133,3.217651913304087,0,AAPL
11,0.27701428571428516,72.09126799814365,1.0018165905474163,0.0002967883263256416,1.403851734196741,0,AAPL
9,0.4687571428571573,20.78651685393396,0.9979800717359886,0.00021505890224385728,0.4481745698699119,1,MSFT
9,0.47197142857144414,21.935891861983222,0.9982970636334518,0.00023889154323942363,0.2706996513091382,1,MSFT
23,0.0983285714285671,56.35324015247985,1.0000384158365812,0.0004389191315675082,1.6105639138434895,0,MSFT
23,0.10544999999999456,48.34586466165455,1.0002064155364139,4.717093495618549e-07,2.140859394863971,0,MSFT
23,0.10487142857142219,37.010085535551525,0.9998485271000257,0.00011795512986862481,0.8960155490767736,0,MSFT
17,0.613814285714288,46.84385382059768,1.000158101636813,7.80063993274371e-05,0.9323220902781282,0,MSFT
22,0.34904285714285216,50.349650349650034,1.0003193627422051,0.0006304139718415995,1.8481413129448985,0,MSFT
22,0.36184999999999995,59.251379322778874,1.0000974244085088,0.0005838393274170948,0.8916576381365113,0,MSFT
11,0.3734142857142818,59.952229299362926,1.002110593081023,0.00038895371450806197,4.038588372067026,1,AMZN
18,0.4145499999999913,68.58054226475419,1.0021990067835223,0.0008584065756752178,0.6403562888803166,0,AMZN
12,0.32571428571427774,41.7274573211998,0.9986780808523346,0.0005310271582460415,1.783841273334067,0,AMZN
13,0.8299642857142869,50.337673564212075,1.0001086184317534,0.002273588480484903,0.757722093814425,0,AMZN
19,0.5151642857142836,50.0,1.00007560500148,0.00022795486493675117,0.9450500796779759,0,AMZN
10,0.6841285714285691,63.30577042766988,1.0018132661430825,0.0014592990914146504,1.1053454412400625,0,AMZN
10,0.7466142857142789,44.16403785488944,0.9978697361242796,0.0008835647652973385,4.0359102244389025,0,AMZN
10,0.6923285714285693,41.01221640488665,0.9982421547052451,0.0015234273399471192,0.18838425756142757,0,AMZN
12,1.0523428571428448,58.933052293485694,1.0021990706981783,0.001402555441327673,0.797087655848482,0,AMZN
13,1.062914285714275,58.7561292905033,1.0020941226019622,0.0021285965942455993,0.2927499060868664,0,AMZN
15,0.8056857142857236,40.468891247101624,1.0003808719985985,0.00017385707468814342,0.814374860708714,0,AMZN
15,0.7174642857142918,45.9726399534292,1.0001534910097434,0.0008991907283444714,3.0202328045727547,0,AMZN
16,0.6197571428571516,55.570671295210744,0.9983908408743881,0.0016875602700095842,0.8245917615495802,0,AMZN
16,0.6289500000000073,54.365296419405375,0.9977439970729726,0.00100364285183251,0.8669119411341278,0,AMZN
9,0.2708142857142905,47.92222906825509,1.0001973116308587,0.0012138329469254929,0.2576853526220615,0,AMZN
11,0.17100714285714552,41.322314049585785,1.0001187494884283,8.072112822577919e-05,0.15959033508998707,0,AMZN
11,0.19940000000000932,49.929040269647146,1.0001030318900779,7.888970051144968e-05,0.2865726831522995,0,AMZN
11,0.20082857142857943,48.71751025991915,1.0000217721635145,0.00010957703265385608,2.3077934025496125,0,AMZN
12,0.26877142857143455,64.74956468298677,1.00222556651386,0.00022123409993802926,0.8857127534055562,0,AMZN
13,0.5729928571428502,56.643730531405225,1.0012202634531369,0.0010936930368210403,1.1673389335010915,0,AMZN
12,0.4799785714285747,22.319219723035886,0.9950774931523775,0.0003646707023558556,1.5514110086616375,0,AMZN
14,2.7905571428571454,54.87733452121695,1.001613513412849,0.0012183932251319106,0.9355008705281205,1,META
18,0.9807714285714236,58.7343441001974,1.0012294791961505,0.00011045167371092852,1.158292408943908,0,META
18,0.9979214285714225,57.28274173806656,1.0005468032643123,0.0005153880135473755,0.9589451213162554,0,META
18,0.9286357142857143,56.16161616161596,0.9998203192426309,0.0005891797145423949,0.8869401172998618,1,META
19,1.093907142857144,42.61363636363658,1.0000136330993967,0.002276461097563611,1.7683520058373743,0,META
22,0.3477071428571321,57.220708446866425,1.0001568620511623,7.371369600465065e-05,1.4025695931477518,1,META
23,0.3383999999999868,65.3429602888098,1.0000786897620195,4.731846550788119e-05,1.2460209185993634,0,META
9,0.8171214285714298,42.61603375527413,0.9964360103126536,0.0022285993405788806,0.8481556913328807,1,AMD
12,1.822257142857138,20.31872509960168,0.9903795772739457,0.00011851851851857915,0.6068771660191254,0,AMD
12,1.958685714285707,17.423133235724748,0.9851332162382367,0.004711809156912061,2.6969853238989603,1,AMD
13,2.957185714285702,49.78003855308452,0.9989346393699384,0.0041027154663517895,1.6911625191770094,1,AMD
21,0.5682928571428566,37.14469361519784,0.996832777379904,0.0009389938538583658,1.032166172106825,1,AMD
19,1.073607142857144,44.29460580912851,0.9988332685149175,0.0009724653385569245,1.2129862817558434,1,AMD
20,1.0656714285714364,59.156228695175834,1.0018121107180946,0.00027739251040228224,0.013224796344953193,1,AMD
20,1.0563714285714363,54.57438345266508,1.0018378000430936,0.0003603803398663694,1.591062471500228,1,AMD
23,0.12999285714286252,67.8958785249433,1.00032985360618,4.81517743929118e-05,1.449017969076473,1,AMD
23,0.10294285714285577,53.34582441113532,1.0002595505130867,0.0002213429986442301,3.147882736156352,1,AMD
